track_id,bt_F,bt_AMLt,bt_CMLt,btr_F,category,descriptors,confidence,bt_act_mean,bt_act_max,bt_act_median,bt_act_peak_prominence_mean,bt_act_peak_prominence_std,bt_act_n_peaks,bt_act_periodicity,bt_act_entropy,bt_act_gt_peak_mean,bt_act_gt_peak_std,bt_act_nongt_peak_mean,btr_act_mean,btr_act_max,btr_act_median,btr_act_peak_prominence_mean,btr_act_peak_prominence_std,btr_act_n_peaks,btr_act_periodicity,btr_act_entropy,btr_act_gt_peak_mean,btr_act_gt_peak_std,btr_act_nongt_peak_mean,bt_failure_mode,btr_failure_mode
smc_001,0.5946,0.3696,0.3696,0.7500,other,slow tempo; poor sound quality,1,0.1317,0.9976,0.0354,0.5276,0.3556,64,0.7051,6.6445,0.8243,0.2751,0.7828,0.0716,0.7662,0.0005,0.4453,0.1894,42,0.8666,6.0008,0.5442,0.1281,0.5665,,
smc_002,0.4575,0.0000,0.0000,0.3789,other,quiet accompaniment; gradual tempo change; expressive timing; lack of transient sounds; wide dynamic range; ternary meter; ambiguity of metrical level; beat phase ambiguity,3,0.3848,0.9999,0.2704,0.8794,0.2280,142,0.7893,7.0621,0.8835,0.2144,0.9522,0.1035,0.8795,0.0099,0.4635,0.2288,88,0.4807,6.3406,0.4453,0.2482,0.5871,,
smc_003,0.5000,0.5698,0.0000,0.5167,other,expressive timing; pauses; low familiarity; rich ornamentation in the interpretation,2,0.1611,0.9991,0.0208,0.7336,0.3392,107,0.6401,6.4720,0.8453,0.2825,0.9091,0.0945,0.7587,0.0352,0.3311,0.2103,62,0.4591,6.7200,0.5050,0.1847,0.3107,,
smc_004,0.5714,0.4545,0.4545,0.5217,continuity_drift,slow tempo; expressive timing; pauses; low familiarity,2,0.0957,0.9988,0.0167,0.5720,0.3293,46,0.2549,6.4473,0.6221,0.3299,0.7587,0.0630,0.7260,0.0185,0.2714,0.1896,33,0.1648,6.5168,0.3568,0.1983,0.3313,,
smc_005,0.3922,0.6429,0.6429,0.3478,octave_error,poor sound quality; lack of transient sounds; expressive timing; ternary meter,2,0.1096,0.9817,0.0053,0.6489,0.3132,42,0.6066,6.2495,0.5168,0.3691,0.8522,0.0483,0.6109,0.0079,0.2902,0.1451,19,0.6846,6.3246,0.2128,0.1645,0.2555,,
smc_006,0.8571,0.5556,0.5556,0.7606,other,slow tempo; tempo incontinuity; expressive timing,1,0.0492,0.9920,0.0012,0.7696,0.3051,32,0.1710,5.5223,0.6956,0.3837,0.0000,0.0510,0.7324,0.0065,0.3746,0.2082,34,0.1297,6.1350,0.4419,0.1862,0.1134,,
smc_007,0.6000,0.8000,0.8000,0.5667,other,slow tempo; gradual tempo change; lack of transient sounds; missing bass; lack of harmonic change; no repetition; low familiarity; ternary meter; expressive timing,4,0.1241,0.9751,0.0027,0.8768,0.1441,36,0.7682,6.1876,0.6756,0.3308,0.9074,0.0627,0.6209,0.0126,0.3016,0.1182,28,0.6101,6.4834,0.2512,0.1375,0.3522,,
smc_008,0.5185,0.1266,0.1266,0.3817,other,beat phase ambiguity; strong syncopation,2,0.0882,0.9995,0.0002,0.7797,0.2854,70,0.6639,5.6606,0.4260,0.4369,0.8801,0.0727,0.7963,0.0028,0.4396,0.1820,57,0.7853,6.0919,0.1951,0.2335,0.4898,,
smc_009,0.4427,0.0000,0.0000,0.4275,other,quiet accompaniment,1,0.2216,0.9994,0.0064,0.9313,0.2091,119,0.9292,6.5033,0.8718,0.2411,0.9852,0.1236,0.9278,0.0046,0.5620,0.2602,102,0.8056,6.2971,0.5907,0.2446,0.5703,,
smc_010,0.8889,0.9778,0.9778,0.9333,good,slow tempo; expressive timing; ternary meter; ambiguity of metrical level,2,0.0898,0.9994,0.0000,0.9590,0.1317,51,0.6722,5.6925,0.8974,0.2393,0.9299,0.0627,0.7547,0.0001,0.5054,0.1279,47,0.8275,5.8536,0.4858,0.1569,0.3467,,
smc_011,0.7652,0.5000,0.5000,0.8113,other,expressive timing; pauses; missing bass,1,0.1342,0.9975,0.0058,0.8463,0.2592,76,0.7117,6.2318,0.8455,0.2965,0.8463,0.0809,0.8751,0.0047,0.5167,0.2503,61,0.6613,6.0984,0.5983,0.2182,0.4210,,
smc_012,0.5472,0.5273,0.5273,0.4356,continuity_drift,expressive timing; strong syncopation,2,0.1738,0.9875,0.0435,0.6228,0.3203,76,0.7115,6.7383,0.6309,0.3117,0.7757,0.0626,0.8081,0.0096,0.3170,0.2053,36,0.5040,6.2628,0.2713,0.2283,0.3230,,
smc_013,0.9464,1.0000,1.0000,0.9107,good,lack of transient sounds; missing bass,1,0.1072,0.9982,0.0001,0.9358,0.0960,64,0.7005,5.9291,0.8807,0.2085,0.8481,0.0828,0.7865,0.0008,0.5215,0.1778,62,0.8046,6.0565,0.5365,0.1649,0.4205,,
