track_id,gt_bpm,bt_transformer_bpm,tempo_ratio,tempo_class,bt_paper_F,bt_paper_CMLt,bt_paper_AMLt,bt_wide_F,bt_wide_CMLt,bt_wide_AMLt,bt_top1_F,bt_top1_CMLt,bt_top1_AMLt,bt_topk_F,bt_topk_CMLt,bt_topk_AMLt,bt_viterbi_F,bt_viterbi_CMLt,bt_viterbi_AMLt,bt_oracle_F,bt_oracle_CMLt,bt_oracle_AMLt,btthis_native_F,btthis_native_CMLt,btthis_native_AMLt,btthis_dbn55_F,btthis_dbn55_CMLt,btthis_dbn55_AMLt,btthis_dbn30_F,btthis_dbn30_CMLt,btthis_dbn30_AMLt,btthis_top1_F,btthis_top1_CMLt,btthis_top1_AMLt,btthis_topk_F,btthis_topk_CMLt,btthis_topk_AMLt,btthis_oracle_F,btthis_oracle_CMLt,btthis_oracle_AMLt,mm_tcn_F,mm_tcn_CMLt,mm_tcn_AMLt
smc_001,48.15,46.0,0.9553,correct,0.5,0.0,0.9821,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.5946,0.3696,0.3696,0.4107,0.0,0.0,0.4107,0.0,0.0,0.6545,0.7857,0.7857,0.3429,0.0,0.0,0.7143,0.9286,0.9286,0.4762,0.0,0.9643
smc_002,65.36,93.0,1.4229,other,0.3789,0.0,0.0,0.3789,0.0,0.0,0.3789,0.0,0.0,0.3789,0.0,0.0,0.3789,0.0,0.0,0.7671,0.7105,0.7105,0.4575,0.0,0.0,0.3368,0.0,0.0,0.3368,0.0,0.0,0.3368,0.0,0.0,0.4474,0.0,0.0,0.1111,0.0263,0.1622,0.4396,0.1321,0.1321
smc_003,68.0,68.0,1.0001,correct,0.5167,0.0,0.6585,0.5167,0.0,0.6585,0.625,0.6429,0.6429,0.5167,0.0,0.6585,0.5167,0.0,0.6585,0.625,0.6429,0.6429,0.5,0.0,0.5698,0.4333,0.0,0.6341,0.437,0.0,0.642,0.5316,0.5122,0.5122,0.437,0.0,0.642,0.5316,0.5122,0.5122,0.35,0.0,0.4756
smc_004,56.99,67.0,1.1756,other,0.5,0.234,0.234,0.5217,0.4722,0.4722,0.4658,0.2,0.2,0.5217,0.4722,0.4722,0.5217,0.4722,0.4722,0.6061,0.5152,0.5152,0.5714,0.4545,0.4545,0.3684,0.2326,0.2326,0.3944,0.3158,0.3158,0.3662,0.3158,0.3158,0.3944,0.3158,0.3158,0.5455,0.5152,0.5152,0.375,0.2128,0.2128
smc_005,39.71,42.0,1.0577,correct,0.3478,0.0,0.7609,0.3478,0.0,0.7609,0.3913,0.8696,0.8696,0.3478,0.0,0.7609,0.3478,0.0,0.7609,0.3913,0.8696,0.8696,0.3922,0.6429,0.6429,0.3188,0.0,0.8261,0.3188,0.0,0.8261,0.4348,1.0,1.0,0.3188,0.0,0.8261,0.4348,1.0,1.0,0.3188,0.0,0.8261
smc_006,52.13,65.0,1.2469,other,0.55,0.1818,0.338,0.7606,0.5278,0.5278,0.5833,0.2778,0.2778,0.7606,0.5278,0.5278,0.7606,0.5278,0.5278,0.8,0.5278,0.5278,0.8571,0.5556,0.5556,0.475,0.0455,0.1972,0.7273,0.4722,0.4722,0.5205,0.2432,0.2432,0.697,0.4722,0.4722,0.6769,0.5,0.5,0.5843,0.0377,0.4648
smc_007,52.77,51.0,0.9665,correct,0.5238,0.1111,0.6102,0.5667,0.7667,0.7667,0.5667,0.7667,0.7667,0.5667,0.7667,0.7667,0.5667,0.7667,0.7667,0.5667,0.7667,0.7667,0.6,0.8,0.8,0.4,0.24,0.4746,0.5246,0.7419,0.7419,0.5246,0.7742,0.7742,0.5574,0.7742,0.7742,0.5246,0.7742,0.7742,0.4565,0.0,0.8065
smc_008,134.53,88.0,0.6541,other,0.3817,0.0,0.0192,0.3817,0.0,0.0192,0.3817,0.0,0.0192,0.3817,0.0,0.0192,0.3817,0.0,0.0192,0.6309,0.5316,0.5316,0.5185,0.1266,0.1266,0.3939,0.0,0.0,0.3939,0.0,0.0,0.3939,0.0,0.0,0.3939,0.0,0.0,0.6624,0.6835,0.6835,0.3939,0.0,0.0
smc_009,55.63,167.0,3.0022,other,0.4275,0.0,0.0,0.4275,0.0,0.0,0.4275,0.0,0.0,0.4275,0.0,0.0,0.4275,0.0,0.0,0.8788,1.0,1.0,0.4427,0.0,0.0,0.458,0.0,0.0,0.458,0.0,0.0,0.458,0.0,0.0,0.458,0.0,0.0,0.0,0.0,0.3333,0.4122,0.0,0.0
smc_010,76.63,76.0,0.9918,correct,0.9333,1.0,1.0,0.9333,1.0,1.0,0.9333,1.0,1.0,0.9333,1.0,1.0,0.9333,1.0,1.0,0.9333,1.0,1.0,0.8889,0.9778,0.9778,0.8889,1.0,1.0,0.8889,1.0,1.0,0.8889,1.0,1.0,0.8889,1.0,1.0,0.8889,1.0,1.0,0.8889,0.9778,0.9778
smc_011,92.74,93.0,1.0028,correct,0.8113,0.7273,0.7273,0.8113,0.7273,0.7273,0.8113,0.7273,0.7273,0.8113,0.7273,0.7273,0.8113,0.7273,0.7273,0.8113,0.7273,0.7273,0.7652,0.5,0.5,0.7103,0.5893,0.5893,0.7103,0.5893,0.5893,0.7103,0.5893,0.5893,0.7103,0.5893,0.5893,0.7103,0.5893,0.5893,0.7477,0.6429,0.6429
smc_012,86.96,85.0,0.9775,correct,0.4356,0.5686,0.5686,0.4356,0.5686,0.5686,0.4356,0.5686,0.5686,0.4356,0.5686,0.5686,0.4356,0.5686,0.5686,0.4356,0.5686,0.5686,0.5472,0.5273,0.5273,0.4902,0.6471,0.6471,0.4902,0.6471,0.6471,0.4902,0.6471,0.6471,0.4902,0.6471,0.6471,0.4902,0.6471,0.6471,0.4272,0.5962,0.5962
smc_013,95.71,92.0,0.9612,correct,0.9107,0.9821,0.9821,0.9107,0.9821,0.9821,0.9107,0.9821,0.9821,0.9107,0.9821,0.9821,0.9107,0.9821,0.9821,0.9107,0.9821,0.9821,0.9464,1.0,1.0,0.9273,0.8929,0.8929,0.9273,0.8929,0.8929,0.9464,1.0,1.0,0.9273,0.8929,0.8929,0.9464,1.0,1.0,0.9107,0.9821,0.9821
smc_014,78.31,85.0,1.0855,correct,0.8571,0.9348,0.9348,0.8571,0.9348,0.9348,0.8571,0.9348,0.9348,0.8571,0.9348,0.9348,0.8571,0.9348,0.9348,0.8571,0.9348,0.9348,0.7901,0.6222,0.6222,0.9111,0.9556,0.9556,0.9111,0.9556,0.9556,0.8,0.9111,0.9111,0.9111,0.9556,0.9556,0.9111,0.9556,0.9556,0.8478,0.8723,0.8723
smc_015,35.34,80.0,2.264,other,0.2828,0.0,0.0897,0.2828,0.0,0.0897,0.3235,0.0,0.4043,0.2828,0.0,0.0897,0.2828,0.0,0.0897,0.381,0.381,0.381,0.4308,0.0,0.5227,0.2941,0.0,0.5106,0.2941,0.0,0.5106,0.2941,0.0,0.5106,0.2941,0.0,0.5106,0.0909,0.1304,0.4783,0.2632,0.0,0.0
smc_016,70.01,69.0,0.9856,correct,0.8293,0.9756,0.9756,0.8293,0.9756,0.9756,0.8293,0.9756,0.9756,0.8293,0.9756,0.9756,0.8293,0.9756,0.9756,0.8293,0.9756,0.9756,0.7952,0.9524,0.9524,0.8395,0.9756,0.9756,0.8395,0.9756,0.9756,0.8395,0.9756,0.9756,0.8395,0.9756,0.9756,0.8395,0.9756,0.9756,0.8293,0.9756,0.9756
smc_017,72.29,72.0,0.996,correct,0.8333,0.881,0.881,0.8333,0.881,0.881,0.8434,0.9524,0.9524,0.8333,0.881,0.881,0.8333,0.881,0.881,0.8434,0.9524,0.9524,0.8916,0.9048,0.9048,0.8571,0.9762,0.9762,0.8571,0.9762,0.9762,0.8571,0.9762,0.9762,0.8571,0.9762,0.9762,0.8571,0.9762,0.9762,0.8571,0.9524,0.9524
smc_018,84.03,86.0,1.0234,correct,0.22,0.2745,0.4118,0.22,0.2745,0.4118,0.22,0.2745,0.4118,0.22,0.2745,0.4118,0.22,0.2745,0.4118,0.22,0.2745,0.4118,0.3396,0.2105,0.2456,0.3878,0.4082,0.4082,0.3878,0.4082,0.4082,0.3878,0.4082,0.4082,0.3878,0.4082,0.4082,0.3878,0.4082,0.4082,0.4848,0.52,0.52
smc_019,41.99,83.0,1.9768,double,0.5634,0.0,0.8958,0.5634,0.0,0.8958,0.5634,0.0,0.8958,0.5634,0.0,0.8958,0.5634,0.0,0.8958,0.6809,0.75,0.75,0.8679,0.5333,0.5333,0.6,0.0,0.9362,0.6,0.0,0.9362,0.6,0.0,0.9362,0.6,0.0,0.9362,0.6809,0.75,0.75,0.5634,0.0,0.8958
smc_021,90.23,46.0,0.5098,half,0.5769,0.6415,0.6415,0.5769,0.6415,0.6415,0.4304,0.0,0.8846,0.5769,0.6415,0.6415,0.5769,0.6415,0.6415,0.6286,0.6981,0.6981,0.4673,0.6111,0.6111,0.5273,0.5965,0.5965,0.5273,0.5965,0.5965,0.3457,0.0,0.8214,0.5882,0.6415,0.6415,0.5273,0.5965,0.5965,0.6226,0.8113,0.8113
