track_id,error_category,gt_bpm,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_lambda_F,default_lambda_CMLt,default_lambda_AMLt
smc_001,other,48.15,200,0.7857,1.0,1.0,0.7143,0.9286,0.9286
smc_002,other,65.36,100,0.1111,0.0263,0.1622,0.1111,0.0263,0.1622
smc_003,other,68.0,1,0.6329,0.6341,0.6341,0.5316,0.5122,0.5122
smc_004,continuity_drift,56.99,1,0.5758,0.4848,0.4848,0.5455,0.5152,0.5152
smc_005,octave_error,39.71,75,0.4348,1.0,1.0,0.4348,1.0,1.0
smc_006,good,52.13,1,0.697,0.4167,0.4167,0.6769,0.5,0.5
smc_007,other,52.77,1,0.5902,0.7742,0.7742,0.5246,0.7742,0.7742
smc_008,other,134.53,150,0.6879,0.7089,0.7089,0.6624,0.6835,0.6835
smc_009,other,55.63,1,0.0,0.0,0.3333,0.0,0.0,0.3333
smc_010,good,76.63,1,0.8889,0.9778,0.9778,0.8889,1.0,1.0
smc_011,continuity_drift,92.74,1,0.729,0.625,0.625,0.7103,0.5893,0.5893
smc_012,continuity_drift,86.96,50,0.5686,0.7255,0.7255,0.4902,0.6471,0.6471
smc_013,good,95.71,1,0.9464,1.0,1.0,0.9464,1.0,1.0
smc_014,other,78.31,75,0.9111,0.9556,0.9556,0.9111,0.9556,0.9556
smc_015,other,35.34,5,0.2857,0.381,0.381,0.0909,0.1304,0.4783
smc_016,other,70.01,300,0.878,1.0,1.0,0.8395,0.9756,0.9756
smc_017,good,72.29,150,0.9048,0.9762,0.9762,0.8571,0.9762,0.9762
smc_018,other,84.03,1,0.4082,0.3878,0.3878,0.3878,0.4082,0.4082
smc_019,good,41.99,20,0.7234,0.75,0.75,0.6809,0.75,0.75
smc_021,other,90.23,150,0.5455,0.6316,0.6316,0.5273,0.5965,0.5965
smc_022,good,69.36,30,0.9114,0.8049,0.8049,0.7342,0.6585,0.6585
smc_023,other,35.09,1,0.4878,0.4762,0.4762,0.4878,0.4762,0.4762
smc_024,other,164.84,1,0.814,0.5258,0.5258,0.7528,0.466,0.466
smc_026,continuity_drift,51.81,1,0.7458,0.9333,0.9333,0.7458,0.9333,0.9333
smc_027,other,63.8,200,0.8108,0.973,0.973,0.7297,0.973,0.973
smc_028,octave_error,117.19,1,0.5938,0.4697,0.4697,0.5271,0.4627,0.4627
smc_030,good,200.0,150,0.9614,0.8547,0.8547,0.9528,0.8462,0.8462
smc_032,other,89.15,20,0.303,0.1296,0.1296,0.2737,0.0926,0.1132
smc_033,continuity_drift,92.92,150,0.717,0.8679,0.8679,0.6981,0.8302,0.8302
smc_034,good,63.39,1,0.9459,1.0,1.0,0.9459,1.0,1.0
smc_035,other,58.25,500,0.8235,1.0,1.0,0.7941,1.0,1.0
smc_036,other,61.54,50,0.9444,0.9722,0.9722,0.9167,0.9722,0.9722
smc_037,other,58.77,75,0.9412,1.0,1.0,0.9412,1.0,1.0
smc_038,continuity_drift,61.86,1,0.8056,1.0,1.0,0.75,1.0,1.0
smc_041,good,70.74,20,0.988,0.9762,0.9762,0.9639,0.9762,0.9762
smc_042,good,46.15,1,0.8889,1.0,1.0,0.8889,1.0,1.0
smc_043,good,92.31,1,0.6538,0.6111,0.6111,0.6154,0.5926,0.5926
smc_044,continuity_drift,76.46,300,0.7955,0.8,0.8,0.7727,0.8222,0.8222
smc_046,continuity_drift,65.22,200,0.7368,0.9211,0.9211,0.7105,0.8158,0.8158
smc_047,octave_error,87.53,150,0.8235,0.902,0.902,0.7647,0.8431,0.8431
smc_048,other,33.56,1,0.55,0.95,0.95,0.55,1.0,1.0
smc_051,other,63.03,20,0.7297,1.0,1.0,0.7297,1.0,1.0
smc_052,continuity_drift,90.84,10,0.7358,0.9057,0.9057,0.7358,0.9057,0.9057
smc_054,good,63.39,1,0.9444,0.9459,0.9459,0.9444,0.9459,0.9459
smc_055,other,67.64,75,0.7532,0.8462,0.8462,0.7532,0.8462,0.8462
smc_056,other,104.17,200,0.4138,0.4068,0.4068,0.3621,0.3898,0.3898
smc_057,other,61.61,20,0.5797,0.8,0.8,0.5797,0.8286,0.8286
smc_058,octave_error,62.89,20,0.5278,0.8333,0.8333,0.4444,0.8056,0.8056
smc_059,other,71.43,50,0.2278,0.0476,0.0476,0.1,0.0714,0.0714
smc_060,other,70.59,300,0.675,0.7073,0.7073,0.55,0.561,0.561
smc_061,other,40.0,1,0.7391,0.9565,0.9565,0.7391,0.913,0.913
smc_063,continuity_drift,88.24,300,0.8155,0.9423,0.9423,0.7961,0.9231,0.9231
smc_064,total_failure,44.18,1,0.0,0.84,0.84,0.0,0.88,0.88
smc_065,good,73.17,1,0.9767,1.0,1.0,0.9767,1.0,1.0
