dataset,track_id,n_beats,mean_ibi,std_ibi,cv
SMC,smc_001,32,1.2469,0.0656,0.0526
SMC,smc_002,44,0.9077,0.0747,0.0823
SMC,smc_003,44,0.9152,0.1154,0.1261
SMC,smc_004,37,1.0783,0.309,0.2866
SMC,smc_005,27,1.4986,0.1015,0.0677
SMC,smc_006,40,1.01,0.4443,0.4399
SMC,smc_007,34,1.1483,0.1104,0.0962
SMC,smc_008,90,0.4442,0.0164,0.0369
SMC,smc_009,37,1.0754,0.0433,0.0402
SMC,smc_010,50,0.7894,0.0508,0.0644
SMC,smc_011,56,0.6919,0.1724,0.2492
SMC,smc_012,58,0.6909,0.0513,0.0742
SMC,smc_013,64,0.6271,0.0369,0.0589
SMC,smc_014,50,0.7731,0.0879,0.1137
SMC,smc_015,24,1.7053,0.2954,0.1732
SMC,smc_016,47,0.8561,0.0629,0.0734
SMC,smc_017,48,0.8341,0.046,0.0552
SMC,smc_018,56,0.7186,0.0575,0.0801
SMC,smc_019,27,1.4712,0.1462,0.0994
SMC,smc_021,59,0.6773,0.072,0.1062
SMC,smc_022,42,0.9466,0.2459,0.2598
SMC,smc_023,23,1.7208,0.1741,0.1012
SMC,smc_024,83,0.4656,0.1804,0.3875
SMC,smc_026,34,1.1572,0.0799,0.0691
SMC,smc_027,41,0.9539,0.0883,0.0926
SMC,smc_028,70,0.5538,0.1657,0.2991
SMC,smc_030,132,0.3019,0.0223,0.0737
SMC,smc_032,58,0.6825,0.209,0.3063
SMC,smc_033,62,0.645,0.0818,0.1268
SMC,smc_034,41,0.9552,0.058,0.0607
SMC,smc_035,38,1.0278,0.0586,0.057
SMC,smc_036,40,0.9865,0.0949,0.0962
SMC,smc_037,39,1.025,0.1279,0.1247
SMC,smc_038,40,0.975,0.0898,0.0921
SMC,smc_041,45,0.8428,0.0365,0.0433
SMC,smc_042,31,1.3107,0.0885,0.0675
SMC,smc_043,56,0.6957,0.1743,0.2505
SMC,smc_044,49,0.8076,0.1194,0.1479
SMC,smc_046,43,0.9279,0.0758,0.0817
SMC,smc_047,57,0.6859,0.0696,0.1015
SMC,smc_048,22,1.7603,0.1397,0.0794
SMC,smc_051,42,0.9587,0.0576,0.0601
SMC,smc_052,61,0.6602,0.0664,0.1006
SMC,smc_054,35,0.9506,0.0291,0.0306
SMC,smc_055,45,0.8854,0.0392,0.0442
SMC,smc_056,68,0.5874,0.0551,0.0938
SMC,smc_057,39,0.9831,0.0759,0.0772
SMC,smc_058,40,0.9728,0.1145,0.1177
SMC,smc_059,47,0.8453,0.0409,0.0484
SMC,smc_060,46,0.8436,0.0695,0.0824
SMC,smc_061,26,1.5269,0.129,0.0845
SMC,smc_063,56,0.6815,0.0357,0.0524
SMC,smc_064,28,1.3611,0.0473,0.0348
SMC,smc_065,49,0.8228,0.0422,0.0513
SMC,smc_066,31,1.288,0.1016,0.0788
SMC,smc_067,57,0.6943,0.0425,0.0612
SMC,smc_068,61,0.6488,0.0366,0.0565
SMC,smc_069,55,0.7227,0.1644,0.2275
SMC,smc_071,52,0.7616,0.0551,0.0724
SMC,smc_072,43,0.8964,0.0812,0.0906
SMC,smc_073,47,0.8587,0.0413,0.0481
SMC,smc_074,60,0.6555,0.1073,0.1637
SMC,smc_075,53,0.7432,0.0413,0.0556
SMC,smc_076,55,0.7053,0.0714,0.1012
SMC,smc_079,123,0.3246,0.0738,0.2273
SMC,smc_080,22,1.8382,0.4574,0.2488
SMC,smc_082,67,0.5703,0.2508,0.4397
SMC,smc_084,29,1.3559,0.0652,0.0481
SMC,smc_085,36,1.0747,0.0843,0.0784
SMC,smc_086,44,0.8899,0.218,0.2449
SMC,smc_087,63,0.579,0.0266,0.046
SMC,smc_088,39,1.0258,0.1579,0.1539
SMC,smc_089,57,0.7054,0.0454,0.0644
SMC,smc_092,83,0.4704,0.0535,0.1138
SMC,smc_093,87,0.4586,0.0412,0.0898
SMC,smc_095,52,0.7469,0.0513,0.0687
SMC,smc_096,70,0.5604,0.0286,0.0511
SMC,smc_098,51,0.7734,0.6299,0.8144
SMC,smc_099,38,1.0664,0.0802,0.0752
SMC,smc_100,40,0.9524,0.0945,0.0993
SMC,smc_101,68,0.5858,0.3174,0.5418
SMC,smc_103,62,0.6323,0.2492,0.3942
SMC,smc_104,44,0.903,0.0458,0.0507
SMC,smc_105,82,0.478,0.0474,0.0992
SMC,smc_106,41,0.9882,0.107,0.1083
SMC,smc_109,42,0.9157,0.0572,0.0625
SMC,smc_111,56,0.6982,0.1976,0.283
SMC,smc_113,29,1.3089,0.0521,0.0398
SMC,smc_114,42,0.9399,0.1952,0.2077
SMC,smc_116,44,0.9017,0.1109,0.123
