track_id,n_beats_orig,n_beats_clean,n_removed,n_inserted,orig_F,clean_F,delta_F,orig_CMLt,clean_CMLt,delta_CMLt,orig_AMLt,clean_AMLt
smc_001,50,53,0,3,0.5946,0.5714,-0.0232,0.3696,0.3469,-0.0226,0.3696,0.3469
smc_002,134,134,0,0,0.4575,0.4575,0.0,0.0,0.0,0.0,0.0,0.0
smc_003,97,99,0,2,0.5,0.4921,-0.0079,0.0,0.0,0.0,0.5698,0.5455
smc_004,34,40,0,6,0.5714,0.5217,-0.0497,0.4545,0.5278,0.0732,0.4545,0.5278
smc_005,32,32,0,0,0.3922,0.3922,0.0,0.6429,0.6429,0.0,0.6429,0.6429
smc_006,30,33,0,3,0.8571,0.8308,-0.0264,0.5556,0.5278,-0.0278,0.5556,0.5278
smc_007,35,35,0,0,0.6,0.6,0.0,0.8,0.8,0.0,0.8,0.8
smc_008,64,66,0,2,0.5185,0.5109,-0.0076,0.1266,0.1266,0.0,0.1266,0.1266
smc_009,112,112,0,0,0.4427,0.4427,0.0,0.0,0.0,0.0,0.0,0.0
smc_010,50,50,0,0,0.8889,0.8889,0.0,0.9778,0.9778,0.0,0.9778,0.9778
smc_011,71,70,1,0,0.7652,0.7544,-0.0108,0.5,0.5079,0.0079,0.5,0.5079
smc_012,62,65,1,4,0.5472,0.5505,0.0033,0.5273,0.5517,0.0245,0.5273,0.5517
smc_013,64,64,0,0,0.9464,0.9464,0.0,1.0,1.0,0.0,1.0,1.0
smc_014,40,49,0,9,0.7901,0.7556,-0.0346,0.6222,0.8222,0.2,0.6222,0.8222
smc_015,49,53,0,4,0.4308,0.4412,0.0104,0.0,0.0,0.0,0.5227,0.5532
smc_016,48,47,1,0,0.7952,0.7805,-0.0147,0.9524,0.9756,0.0232,0.9524,0.9756
smc_017,47,48,0,1,0.8916,0.9048,0.0132,0.9048,0.9524,0.0476,0.9048,0.9524
smc_018,67,66,4,3,0.3396,0.3429,0.0032,0.2105,0.2143,0.0038,0.2456,0.25
smc_019,38,37,1,0,0.8679,0.8679,0.0,0.5333,0.5333,0.0,0.5333,0.5333
smc_021,60,62,0,2,0.4673,0.4771,0.0098,0.6111,0.5893,-0.0218,0.6111,0.5893
smc_022,44,45,0,1,0.9487,0.9367,-0.012,0.875,0.8293,-0.0457,0.875,0.8293
smc_023,43,45,0,2,0.6667,0.6452,-0.0215,0.0513,0.0,-0.0513,0.8049,0.9024
smc_024,58,60,0,2,0.72,0.7244,0.0044,0.2267,0.2533,0.0267,0.42,0.3846
smc_026,35,35,0,0,0.7458,0.7458,0.0,0.9333,0.9333,0.0,0.9333,0.9333
smc_027,60,63,0,3,0.5682,0.5495,-0.0187,0.3922,0.3148,-0.0773,0.3922,0.3148
smc_028,36,39,0,3,0.4255,0.4167,-0.0089,0.0161,0.0161,0.0,0.7188,0.6765
smc_030,136,136,0,0,0.9407,0.9407,0.0,0.825,0.825,0.0,0.825,0.825
smc_032,31,33,0,2,0.6118,0.6207,0.0089,0.5,0.5185,0.0185,0.5,0.5185
smc_033,67,67,1,1,0.7027,0.7027,0.0,0.7069,0.7069,0.0,0.7069,0.7069
smc_034,41,41,0,0,0.9459,0.9459,0.0,1.0,1.0,0.0,1.0,1.0
smc_035,39,39,0,0,0.7536,0.7536,0.0,0.9714,0.9714,0.0,0.9714,0.9714
smc_036,67,71,0,4,0.7292,0.7143,-0.0149,0.2,0.1613,-0.0387,0.6338,0.6901
smc_037,20,21,0,1,0.5882,0.6154,0.0271,0.0294,0.0294,0.0,0.7647,0.7778
smc_038,44,46,0,2,0.7733,0.7532,-0.0201,0.8205,0.7317,-0.0888,0.8205,0.7317
smc_041,47,49,0,2,0.9268,0.9524,0.0256,0.878,0.907,0.0289,0.878,0.907
smc_042,41,42,0,1,0.8333,0.8197,-0.0137,0.6061,0.5588,-0.0472,0.6061,0.5588
smc_043,63,65,3,5,0.8113,0.7706,-0.0407,0.6964,0.661,-0.0354,0.6964,0.661
smc_044,41,43,0,2,0.775,0.8049,0.0299,0.6279,0.7209,0.093,0.6279,0.7209
smc_046,46,44,2,0,0.641,0.6316,-0.0094,0.825,0.8421,0.0171,0.825,0.8421
smc_047,27,27,0,0,0.5333,0.5333,0.0,0.0196,0.0196,0.0,0.8462,0.8462
smc_048,26,25,1,0,0.5,0.4651,-0.0349,0.7083,0.7391,0.0308,0.7083,0.7391
smc_051,63,64,0,1,0.5474,0.5417,-0.0057,0.4483,0.4407,-0.0076,0.4483,0.4407
smc_052,62,62,0,0,0.7103,0.7103,0.0,0.8704,0.8704,0.0,0.8704,0.8704
smc_054,41,42,0,1,0.9444,0.9444,0.0,0.9459,0.9459,0.0,0.9459,0.9459
smc_055,27,29,0,2,0.5397,0.5538,0.0142,0.1282,0.1282,0.0,0.4167,0.5
smc_056,109,134,0,25,0.3226,0.3182,-0.0044,0.1042,0.0598,-0.0443,0.1453,0.2051
smc_057,30,33,0,3,0.4839,0.5312,0.0474,0.6571,0.7143,0.0571,0.6571,0.7143
smc_058,37,40,0,3,0.4638,0.4722,0.0085,0.75,0.8056,0.0556,0.75,0.8056
smc_059,187,188,0,1,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0
smc_060,40,41,0,1,0.6053,0.5974,-0.0079,0.6098,0.6098,0.0,0.6098,0.6098
smc_061,43,48,0,5,0.5397,0.5152,-0.0245,0.1,0.0698,-0.0302,0.7333,0.8
smc_063,53,55,0,2,0.7,0.7059,0.0059,0.7255,0.8039,0.0784,0.7255,0.8039
