track_id,fold,gt_median_ibi,pred_median_ibi,acf_period,ibi_ratio,detected_error,orig_F,corrected_F,delta_F,subsample_F,interpolate_F,oracle_F,oracle_choice,orig_CMLt,orig_AMLt
smc_001,2,1.246,0.64,1.24,0.5161,double,0.5946,0.4314,-0.1632,0.4314,0.3697,0.5946,original,0.3696,0.3696
smc_002,4,0.918,0.3,0.3,1.0,correct,0.4575,0.4575,0.0,0.375,0.2612,0.4575,original,0.0,0.0
smc_003,2,0.8824,0.42,0.42,1.0,correct,0.5,0.5,0.0,0.2222,0.3333,0.5,original,0.0,0.5698
smc_004,5,1.0528,0.94,0.9,1.0444,correct,0.5714,0.5714,0.0,0.375,0.5217,0.5714,original,0.4545,0.4545
smc_005,0,1.511,1.44,1.48,0.973,correct,0.3922,0.3922,0.0,0.1081,0.2532,0.3922,original,0.6429,0.6429
smc_006,1,1.151,1.26,1.24,1.0161,correct,0.8571,0.8571,0.0,0.56,0.6966,0.8571,original,0.5556,0.5556
smc_007,5,1.137,1.13,1.14,0.9912,correct,0.6,0.6,0.0,0.4,0.4889,0.6,original,0.8,0.8
smc_008,7,0.446,0.66,1.34,0.4925,double,0.5185,0.1869,-0.3316,0.1869,0.4921,0.5185,original,0.1266,0.1266
smc_009,4,1.0786,0.36,0.36,1.0,correct,0.4427,0.4427,0.0,0.3902,0.2533,0.4427,original,0.0,0.0
smc_010,7,0.783,0.78,0.78,1.0,correct,0.8889,0.8889,0.0,0.5882,0.597,0.8889,original,0.9778,0.9778
smc_011,0,0.647,0.62,0.62,1.0,correct,0.7652,0.7652,0.0,0.5301,0.5251,0.7652,original,0.5,0.5
smc_012,2,0.69,0.66,0.68,0.9706,correct,0.5472,0.5472,0.0,0.4304,0.4125,0.5472,original,0.5273,0.5273
smc_013,5,0.6269,0.62,0.62,1.0,correct,0.9464,0.9464,0.0,0.619,0.631,0.9464,original,1.0,1.0
smc_014,7,0.7662,0.76,0.68,1.1176,correct,0.7901,0.7901,0.0,0.5079,0.5862,0.7901,original,0.6222,0.6222
smc_015,7,1.698,0.74,0.72,1.0278,correct,0.4308,0.4308,0.0,0.3256,0.2593,0.4308,original,0.0,0.5227
smc_016,4,0.857,0.84,0.86,0.9767,correct,0.7952,0.7952,0.0,0.5484,0.528,0.7952,original,0.9524,0.9524
smc_017,3,0.83,0.82,0.82,1.0,correct,0.8916,0.8916,0.0,0.5714,0.6129,0.8916,original,0.9048,0.9048
smc_018,1,0.714,0.68,0.7,0.9714,correct,0.3396,0.3396,0.0,0.2857,0.3804,0.3804,interpolate,0.2105,0.2456
smc_019,2,1.429,0.86,1.44,0.5972,double,0.8679,0.7368,-0.1311,0.7368,0.5542,0.8679,original,0.5333,0.5333
smc_021,5,0.665,0.62,0.62,1.0,correct,0.4673,0.4673,0.0,0.325,0.375,0.4673,original,0.6111,0.6111
smc_022,0,0.865,0.84,0.82,1.0244,correct,0.9487,0.9487,0.0,0.6207,0.6325,0.9487,original,0.875,0.875
smc_023,7,1.71,0.88,0.86,1.0233,correct,0.6667,0.6667,0.0,0.3415,0.4286,0.6667,original,0.0513,0.8049
smc_024,7,0.364,0.66,0.7,0.9429,correct,0.72,0.72,0.0,0.44,0.7886,0.7886,interpolate,0.2267,0.42
smc_026,1,1.158,1.16,1.16,1.0,correct,0.7458,0.7458,0.0,0.5455,0.4944,0.7458,original,0.9333,0.9333
smc_027,1,0.9405,0.6,0.94,0.6383,double,0.5682,0.3548,-0.2133,0.3548,0.3768,0.5682,original,0.3922,0.3922
smc_028,6,0.512,0.98,0.96,1.0208,correct,0.4255,0.4255,0.0,0.2821,0.576,0.576,interpolate,0.0161,0.7188
smc_030,4,0.3,0.3,0.3,1.0,correct,0.9407,0.9407,0.0,0.6364,0.6404,0.9407,original,0.825,0.825
