threshold,probability,mean_F,median_F,mean_CMLt,mean_AMLt,avg_n_beats
-3.0,0.0474,0.5786,0.5562,0.3738,0.4779,84.0
-2.5,0.0759,0.5875,0.5714,0.3942,0.4956,79.5
-2.0,0.1192,0.5981,0.5854,0.4194,0.5141,74.5
-1.5,0.1824,0.6087,0.6038,0.4458,0.5383,69.4
-1.0,0.2689,0.6177,0.6154,0.4733,0.5652,63.9
-0.5,0.3775,0.6229,0.6154,0.4996,0.59,58.7
0.0,0.5,0.627,0.6133,0.5138,0.61,53.8
0.5,0.6225,0.6266,0.6234,0.5179,0.6128,49.4
1.0,0.7311,0.6167,0.6111,0.5089,0.5972,45.2
1.5,0.8176,0.601,0.5926,0.4739,0.5643,41.6
2.0,0.8808,0.5782,0.5538,0.439,0.5243,38.0
2.5,0.9241,0.5405,0.5227,0.3917,0.473,34.1
3.0,0.9526,0.4879,0.48,0.3389,0.4054,30.0
3.5,0.9707,0.4287,0.4138,0.2833,0.3414,25.7
4.0,0.982,0.3653,0.3175,0.2365,0.2829,21.7
